"113.003464,28.032966",长沙生态动物园
"110.479191,29.117096",张家界
"113.054787,28.236436",长沙世界之窗
0.0,天门山国家森林公园
"110.442167,29.282828",张家界国家森林公园
"112.864018,27.225530",衡山
"110.702246,29.409692",张家界大峡谷
"109.603865,27.949937",凤凰古城
"113.024590,28.186786",宁乡炭河古城
0.0,橘子洲
"112.937353,28.182849",岳麓山
"113.055123,28.232143",长沙海底世界
"112.985816,28.178937",长沙摩天轮
"113.129702,29.371903",岳阳楼—君山岛景区
0.0,黄龙洞
"120.455490,30.243038",靖港古镇
"113.409355,25.879353",东江湖
"112.981344,28.183718",天心阁
"113.084839,28.036579",石燕湖
"119.798592,39.972702",海立方海洋公园
0.0,洋沙湖五彩花田
"112.470614,27.917757",韶山滴水洞
"110.701160,29.395620",张家界大峡谷玻璃桥
"112.733821,27.246876",南岳大庙
"113.032006,28.103284",湖南省森林植物园
"116.448097,40.029015",红太阳之夜
"112.616139,26.910846",石鼓书院
"114.403481,30.494629",关山古镇
"112.940827,28.180402",岳麓书院
"110.549706,29.327635",宝峰湖
"130.321152,46.804653",风车谷童话小镇旅游区
"121.422478,30.830151",土家风情园
"110.119936,29.324424",张家界九天洞
"121.109917,31.460739",洋沙湖国际旅游度假区
"110.557411,29.345119",溪布街
0.0,奇梁洞
"114.893448,32.052620",十里画廊
"121.676094,29.299765",梅山龙宫
"114.168161,28.434760",湖南大围山
0.0,新华联铜官窑古镇
0.0,灰汤华天城温泉
0.0,魅力湘西
"113.175786,30.661214",天门狐仙
"112.345499,27.980298",宁乡灰汤紫龙湾温泉度假区
"112.983066,28.176641",酷贝拉长沙欢乐城
"113.979786,28.896588",岳阳平江石牛寨
"121.274704,37.510395",三联峒冰泉旅游景区
"112.983810,28.112444",湖南炎帝陵
"113.158000,27.875500",株洲方特梦幻王国
"112.647392,28.032511",刘少奇纪念馆
0.0,莽山森林温泉
0.0,天门山索道
"113.071430,28.237776",长沙冰雪大世界
0.0,黄石寨索道
"110.598450,23.824259",三只熊冰雪王国
0.0,《中国出了个毛泽东》大型实景演出
"114.152740,30.629005",爱晚亭
"112.983841,28.173594",田汉大剧院
0.0,百龙天梯
0.0,大型歌舞《炭河千古情》
"111.762941,29.081012",常德欢乐水世界
"112.523104,27.896762",韶山游客换乘中心
0.0,王村芙蓉镇
"113.910342,25.529517",汝城温泉福泉山庄
"112.971694,28.175638",湖南省立第一师范学校旧址
"122.385040,40.688454",边城晚会
"119.047279,25.500126",枫林花海
"121.274704,37.510395",三联峒冰泉景区
"110.468176,29.352737",武陵源风景名胜区
"112.721939,28.236365",长沙贝拉小镇
"111.690285,29.029274",穿紫河游船
"113.480652,29.007170",张谷英村
0.0,龙女温泉
"112.929350,28.279500",湘江橘洲之星·长沙印象游轮游
0.0,铜官窑
0.0,天门洞
0.0,刘少奇故里门楼
"109.602852,28.328583",矮寨大桥
0.0,五雷山风景区
"118.673859,37.422127",甜甜湾乐园海洋城
"110.479191,29.117096",张家界朝阳地缝
"111.458444,27.705445",冷水江波月洞
0.0,天子山索道
"112.981453,28.186493",都正街
0.0,毛泽东同志纪念馆
"112.355180,28.553860",益阳现代农业嘉年华
"111.116714,28.634109",夷望溪
0.0,通天大道
0.0,白玉堂
0.0,紫鹊界梯田
0.0,不二门野溪温泉
"119.221764,29.269402",杨家界景区
"119.798592,39.972702",海立方酷比克海洋公园
0.0,小乔墓
"114.877411,35.253883",苗寨故事
"99.795647,37.053165",海纳百川温泉酒店
0.0,茂林温泉浴庄园
"107.814278,23.898493",花明楼景区
0.0,浯溪碑林
"113.193949,27.987314",株洲方特欢乐世界
"102.733195,25.070628",盘龙大观园
"112.493619,27.913234",韶山旅游区
"111.176434,29.415631",张家界万福温泉冷泉冰泉水世界
0.0,乾州古城
0.0,德夯苗寨
"113.046538,25.810136",苏仙岭
0.0,芋头古侗寨
"113.348305,25.819698",兜率岩
"111.502090,29.537931",夹山国家森林公园
"112.139412,28.214712",千佛洞
"112.998061,28.199228",芙蓉楼
0.0,通道万佛山
0.0,红石林
"112.993576,28.211806",湖南省博物馆
0.0,苗人谷
"111.441456,28.800577",常德桃花源
"112.986948,28.160600",湖南神农谷
0.0,梦幻沱江篝火晚会
0.0,毛泽东同志故居
"110.767057,29.502121",张家界江垭温泉
0.0,莨山
"119.584099,25.668653",城头山遗址
"110.810593,26.370911",崀山国家地质公园
0.0,天下凤凰篝火晚会
"111.980103,25.397106",九嶷山
"113.029533,29.260706",洞庭湖
"111.762500,27.877062",涟源湄江风景区
"112.944550,25.719254",万华岩
"110.733719,29.438173",龙王洞
0.0,金太阳温泉会馆
"110.916061,35.114376",舜帝陵
"113.128958,29.357104",岳阳海立方海洋公园
0.0,曾国藩故居
"113.090380,25.750353",郴州王仙岭旅游区
"113.033586,28.108526",湖南省森林植物园乐林游乐园
0.0,琴岛演艺中心
0.0,沱江泛舟
"111.947391,28.806396",常德市清水湖旅游区
"111.866638,36.566517",柏乐园
"113.609306,23.117289",水帘洞
0.0,云阳山景区
"109.471138,27.928677",南方长城
0.0,杜甫江阁
0.0,飞水谷
0.0,南华山神凤文化景区
0.0,橘子洲古董钢琴博物馆
0.0,通程温泉
"109.460114,25.878572",坐龙峡风景区
"111.015022,26.365126",舜皇山
0.0,光明蝶谷
"113.418159,28.408936",赤马湖瑞翔滑雪场
"109.977005,28.994385",老司城
0.0,板梁古村
0.0,周洛大峡谷
0.0,黔阳古城
"113.038601,25.805143",郴州永兴银楼
0.0,怪楼5D错觉艺术展
"110.002652,27.114060",洪江古商城
0.0,桃花雪缘室内滑雪场
0.0,九龙江国家森林公园
"113.594317,28.410521",浏阳石牛寨
"117.901756,32.249432",大熊山国家森林公园
"109.600204,27.945315",魅力凤凰篝火晚会
0.0,毛泽东铜像
0.0,蔡伦竹海
"129.646774,49.284485",乌云界生态园
"113.569099,27.215158",株洲酒埠江仙人桥旅游区
"112.492706,27.907206",毛泽东广场
0.0,6501风景区
"112.990173,28.070488",友阿奥特莱斯冰雪奇园
